MSSubClass,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,ScreenPorch,SaleCondition,YrSold,Prediccion_Escalada,Precio_Predicho_USD
50,RM,60.0,Reg,Lvl,Corner,BrkSide,5,5,1950,Gable,Stucco,TA,BrkTil,TA,No,Rec,Gd,Y,822,320,1142,0.0,0,TA,6,Typ,0,,Fin,1.0,320.0,Y,0,0,Normal,2009,11.552033492852043,103988.28139203716
30,RM,51.0,Reg,Lvl,Inside,BrkSide,5,6,1999,Gable,MetalSd,TA,BrkTil,TA,No,Unf,Gd,Y,995,0,995,0.0,0,TA,5,Typ,0,,Unf,1.0,264.0,Y,0,0,Abnorml,2009,11.451908084285904,94080.68877663791
50,RM,51.0,Reg,Lvl,Inside,BrkSide,5,6,1950,Gable,Wd Sdng,TA,BrkTil,TA,No,LwQ,TA,Y,994,588,1582,0.0,0,TA,6,Typ,1,Gd,Unf,1.0,250.0,Y,189,0,Normal,2009,11.719209356477544,122910.2086114505
30,RM,50.0,Reg,Lvl,Inside,BrkSide,5,5,1950,Hip,Wd Sdng,TA,BrkTil,TA,No,LwQ,TA,Y,1072,0,1072,1.0,0,TA,5,Typ,0,,Unf,5.0,1184.0,P,0,0,Normal,2009,11.721977125769705,123250.8669268816
70,RM,57.0,Reg,Lvl,Inside,OldTown,6,6,1950,Gable,MetalSd,TA,PConc,TA,No,Unf,Gd,Y,1048,720,1768,0.0,0,TA,8,Typ,0,,Unf,2.0,576.0,Y,0,0,Normal,2009,11.855019947731673,140789.33128781946
70,RM,68.0,Reg,Lvl,Inside,OldTown,7,8,1994,Gable,Wd Sdng,TA,BrkTil,TA,No,Unf,Fa,Y,1272,672,1944,0.0,0,TA,8,Min2,0,,Unf,1.0,216.0,N,24,0,Normal,2009,11.887874664411378,145491.75021186296
90,RM,50.0,Reg,Bnk,Inside,OldTown,5,1,1950,Hip,MetalSd,TA,BrkTil,TA,No,Unf,TA,N,1088,1040,2128,0.0,0,TA,11,Sev,0,,,0.0,0.0,Y,0,0,Abnorml,2009,11.373424343019458,86979.20473399936
70,RM,57.0,Reg,Lvl,Inside,IDOTRR,6,5,1950,Gable,Plywood,TA,CBlock,TA,No,BLQ,Fa,Y,1146,784,1930,1.0,0,TA,8,Typ,0,,Unf,1.0,316.0,Y,0,0,Normal,2009,11.793344080321216,132368.38107362573
70,RM,,IR2,Bnk,Corner,OldTown,6,7,2002,Gable,Wd Sdng,TA,BrkTil,TA,No,Unf,Ex,Y,741,686,1427,0.0,0,Gd,7,Typ,0,,Unf,1.0,379.0,Y,0,0,Normal,2009,11.783328175423339,131049.20933472281
190,RM,41.0,IR3,Bnk,Corner,OldTown,7,5,2000,Gable,MetalSd,TA,BrkTil,TA,No,Rec,TA,N,978,886,1864,0.0,1,TA,9,Typ,0,,,0.0,0.0,N,0,0,Normal,2009,11.733034238509468,124621.22781353907
50,RM,60.0,Reg,Lvl,Corner,IDOTRR,6,6,1950,Gable,MetalSd,TA,BrkTil,TA,No,Unf,TA,Y,1204,462,1666,0.0,0,TA,4,Typ,0,,Unf,1.0,384.0,Y,0,0,Normal,2009,11.705639680078743,121253.62194667621
85,RM,86.0,Reg,Lvl,Inside,IDOTRR,4,6,1950,Hip,MetalSd,TA,PConc,Gd,Av,BLQ,TA,Y,892,0,892,1.0,0,Gd,5,Min2,0,,,0.0,0.0,N,0,160,Abnorml,2009,11.417023300444935,90855.29004249228
190,RM,60.0,Reg,Bnk,Inside,IDOTRR,6,7,1965,Gable,MetalSd,TA,CBlock,TA,No,Rec,Ex,Y,754,649,1403,1.0,1,TA,7,Typ,0,,Unf,1.0,308.0,Y,0,0,Normal,2009,11.7201990199726,123031.90856915271
20,RL,50.0,IR1,Lvl,Inside,Sawyer,4,9,2001,Gable,MetalSd,TA,CBlock,Fa,No,Unf,Ex,Y,704,0,704,0.0,0,Fa,4,Typ,0,,Unf,1.0,220.0,Y,0,0,Normal,2009,11.493649238698612,98090.8372154801
90,RL,60.0,Reg,Lvl,Inside,Edwards,5,5,1988,Gable,Plywood,TA,CBlock,Gd,Gd,GLQ,TA,Y,1200,0,1200,3.0,0,TA,5,Typ,0,,,0.0,0.0,Y,120,0,Alloca,2009,11.71229758338257,122063.61025668586
90,RL,,IR1,Lvl,Inside,Edwards,5,5,1978,Gable,Plywood,TA,PConc,Gd,Gd,GLQ,TA,Y,1152,0,1152,2.0,0,TA,6,Typ,0,,Unf,1.0,252.0,N,0,0,Normal,2009,11.80543546116212,133978.61292561947
50,RL,60.0,Reg,Lvl,Inside,Edwards,5,3,1950,Gable,MetalSd,TA,PConc,TA,No,Unf,TA,N,687,425,1112,1.0,0,TA,6,Typ,0,,Unf,1.0,226.0,N,0,0,Normal,2009,11.400159503205526,89335.97159829424
20,RL,75.0,Reg,Lvl,Inside,Sawyer,5,6,1967,Hip,HdBoard,TA,CBlock,TA,No,BLQ,TA,Y,1052,0,1052,0.0,1,TA,6,Typ,1,Po,Fin,1.0,668.0,Y,0,0,Abnorml,2009,11.6783697112708,117991.7176137966
85,RL,,IR1,Lvl,CulDSac,Sawyer,6,5,1978,Gable,Plywood,TA,CBlock,Gd,Gd,GLQ,TA,Y,1034,0,1034,0.0,0,TA,5,Typ,1,Fa,Fin,2.0,504.0,Y,0,0,Normal,2009,11.90004287553316,147272.93951098938
80,RL,88.0,Reg,Lvl,Inside,Sawyer,5,5,1961,Hip,HdBoard,TA,CBlock,TA,No,Unf,TA,Y,904,611,1774,0.0,0,TA,8,Typ,1,TA,Unf,1.0,384.0,Y,290,0,Normal,2009,11.817200674900935,135564.20909217774
80,RL,88.0,Reg,Lvl,Inside,Sawyer,6,5,1960,Hip,Wd Sdng,TA,CBlock,TA,Av,BLQ,Ex,Y,1138,0,1138,0.0,0,TA,6,Typ,1,TA,RFn,2.0,480.0,Y,0,140,Normal,2009,11.91110572033929,148911.2426226575
80,RL,,Reg,Lvl,Inside,ClearCr,5,5,1956,Hip,Wd Sdng,TA,CBlock,TA,Mn,Unf,Ex,Y,2071,0,2071,0.0,1,TA,9,Typ,1,TA,Unf,1.0,336.0,Y,131,0,Normal,2009,12.137244258811869,186697.37301544144
20,RL,,Reg,Lvl,Corner,Sawyer,2,2,1950,Gable,Wd Sdng,TA,Slab,,,,Fa,N,660,0,660,0.0,0,Fa,5,Min2,0,,,0.0,0.0,N,0,0,Normal,2009,10.897293636966065,54029.94111424543
20,RL,,IR1,Lvl,CulDSac,Edwards,4,5,1954,Gable,VinylSd,TA,CBlock,,,,TA,Y,1383,0,1383,0.0,0,TA,6,Mod,0,,Unf,2.0,498.0,Y,0,110,Normal,2009,11.726036105333119,123752.15635043208
20,RL,68.0,Reg,Lvl,Inside,Edwards,5,5,1956,Hip,MetalSd,TA,CBlock,TA,No,Rec,TA,Y,1073,0,1073,1.0,0,TA,5,Typ,0,,Unf,1.0,340.0,Y,0,0,Normal,2009,11.637101013263152,113221.46118966935
60,RL,50.0,Reg,Bnk,Inside,Edwards,6,7,1950,Hip,MetalSd,TA,CBlock,TA,No,BLQ,Ex,Y,892,747,1639,0.0,1,Gd,6,Typ,1,Gd,Unf,1.0,240.0,Y,0,0,Normal,2009,11.97287100083797,158398.77121288644
20,RL,62.0,Reg,Lvl,Inside,Edwards,5,6,1954,Gable,Wd Sdng,TA,CBlock,Gd,No,BLQ,TA,Y,1089,0,1089,1.0,0,TA,5,Typ,1,Gd,RFn,1.0,252.0,P,328,0,Normal,2009,11.760965017600963,128151.06183078984
120,RL,42.0,Reg,Lvl,Inside,Edwards,5,5,1984,Gable,HdBoard,Gd,CBlock,Gd,Mn,GLQ,TA,Y,1049,0,1049,1.0,0,Gd,5,Typ,0,,Fin,1.0,266.0,Y,0,0,Normal,2009,11.758871965391442,127883.11547834479
80,RL,74.0,IR1,Lvl,Inside,SawyerW,7,6,1991,Gable,HdBoard,Gd,PConc,Gd,No,GLQ,Gd,Y,1061,0,1061,1.0,1,Gd,4,Typ,0,,Unf,2.0,462.0,Y,114,0,Normal,2009,12.046439380290044,170491.27140506316
80,RL,66.0,IR1,Lvl,Inside,SawyerW,6,5,1983,Gable,Wd Sdng,Gd,CBlock,Gd,Av,Rec,Gd,Y,1338,0,1338,0.0,1,Gd,5,Min2,1,Po,Unf,2.0,576.0,Y,0,0,Normal,2009,11.965910737595474,157300.1020168072
60,RL,85.0,Reg,Lvl,Corner,SawyerW,7,5,1994,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1079,800,1879,1.0,1,Gd,8,Typ,1,TA,RFn,2.0,473.0,Y,400,0,Normal,2009,12.306520727370362,221133.2472115101
70,RL,120.0,Reg,Bnk,FR2,SawyerW,5,7,2007,Gable,HdBoard,Gd,PConc,,,,Ex,Y,1288,728,2016,0.0,0,TA,7,Mod,1,TA,Unf,2.0,576.0,P,0,0,Normal,2009,12.057936992134527,172462.82623351898
90,RL,64.0,Reg,Lvl,Inside,SawyerW,5,5,1979,Gable,HdBoard,TA,Slab,,,,TA,Y,1114,1114,2228,0.0,0,TA,8,Typ,0,,Unf,2.0,720.0,Y,73,0,Alloca,2009,11.829462154775394,137236.65931754472
90,RL,64.0,Reg,Bnk,Inside,SawyerW,5,5,1979,Gable,HdBoard,TA,Slab,,,,TA,Y,1535,0,1535,0.0,0,TA,8,Typ,0,,Unf,2.0,400.0,Y,0,0,Alloca,2009,11.742408925042868,125795.00606486018
90,RL,64.0,Reg,Lvl,Inside,SawyerW,5,5,1979,Gable,Plywood,TA,CBlock,Gd,Av,GLQ,TA,Y,1229,0,1229,2.0,2,Gd,6,Typ,2,TA,Unf,2.0,672.0,Y,120,0,Alloca,2009,11.957703388743596,156014.3686535442
90,RL,64.0,Reg,Bnk,Inside,SawyerW,5,5,1979,Gable,HdBoard,TA,Slab,,,,TA,Y,1513,0,1513,0.0,0,TA,8,Typ,0,,Unf,2.0,400.0,Y,0,0,Alloca,2009,11.736107704093312,125004.83606965712
90,RL,,Reg,Lvl,Inside,SawyerW,7,5,2000,Hip,VinylSd,TA,PConc,Ex,No,GLQ,Ex,Y,1168,1619,2787,2.0,2,TA,8,Typ,2,TA,Fin,4.0,820.0,Y,312,0,Normal,2009,12.564233671268092,286139.196161695
90,RL,,Reg,Lvl,Inside,SawyerW,7,5,2000,Hip,VinylSd,TA,PConc,Ex,No,GLQ,Ex,Y,1168,1619,2787,2.0,2,TA,8,Typ,2,TA,Fin,4.0,820.0,Y,312,0,Normal,2009,12.564233671268092,286139.196161695
90,RL,,Reg,Lvl,Inside,SawyerW,7,5,2000,Hip,VinylSd,TA,PConc,Ex,No,GLQ,Ex,Y,1168,1619,2787,2.0,2,TA,8,Typ,2,TA,Fin,4.0,820.0,Y,312,0,Normal,2009,12.564233671268092,286139.196161695
20,RL,84.0,Reg,Lvl,Inside,CollgCr,9,5,2009,Hip,VinylSd,Ex,PConc,Ex,Gd,GLQ,Ex,Y,1680,0,1680,1.0,1,Ex,8,Typ,1,Gd,Fin,3.0,1138.0,Y,185,0,Partial,2009,12.68433044509453,322652.26556931395
20,RL,65.0,IR1,Lvl,Inside,CollgCr,9,5,2008,Gable,VinylSd,Ex,PConc,Ex,Gd,GLQ,Ex,Y,1720,0,1720,1.0,0,Ex,8,Typ,1,Gd,RFn,3.0,846.0,Y,208,0,Normal,2009,12.630328232352248,305690.4392210046
20,RL,71.0,Reg,Lvl,Inside,CollgCr,8,5,2008,Gable,VinylSd,Gd,PConc,Gd,Av,Unf,Ex,Y,1468,0,1468,0.0,0,Gd,6,Typ,1,Gd,RFn,3.0,904.0,Y,192,0,Normal,2009,12.326301755128085,225551.0403047567
20,RL,77.0,IR1,Lvl,Inside,CollgCr,8,5,2008,Hip,VinylSd,Gd,PConc,Ex,Av,GLQ,Ex,Y,1838,0,1838,1.0,0,Gd,7,Typ,2,Gd,RFn,2.0,524.0,Y,154,0,Normal,2009,12.521651881172462,274210.6487808024
20,RL,64.0,Reg,Lvl,Inside,CollgCr,7,5,2007,Gable,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,1290,0,1290,1.0,0,Gd,6,Typ,1,Gd,RFn,2.0,662.0,Y,168,0,Normal,2009,12.259058706158942,210882.98942710718
20,RL,95.0,IR1,Lvl,Corner,CollgCr,8,5,2008,Gable,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,1254,0,1254,1.0,0,Gd,5,Typ,0,,RFn,3.0,810.0,Y,168,0,Normal,2009,12.312628503176247,222488.01259871692
20,RL,78.0,Reg,Lvl,Inside,CollgCr,8,5,2006,Gable,VinylSd,Gd,PConc,Ex,Gd,GLQ,Ex,Y,1498,0,1498,0.0,0,Gd,7,Typ,1,Gd,Fin,3.0,844.0,Y,144,0,Normal,2009,12.443992032108435,253721.38439158862
60,RL,79.0,IR1,Lvl,Inside,CollgCr,6,5,2006,Gable,VinylSd,Gd,PConc,Gd,Av,Unf,Ex,Y,704,718,1422,0.0,1,Gd,7,Typ,1,Gd,Fin,2.0,440.0,Y,36,0,Normal,2009,12.104516221438473,180686.04053509547
60,RL,,IR1,HLS,CulDSac,ClearCr,7,5,1993,Gable,VinylSd,Gd,PConc,Gd,Av,GLQ,Gd,Y,944,815,1759,1.0,1,Gd,7,Typ,1,TA,Unf,2.0,525.0,Y,150,0,Normal,2009,12.373841014775685,236532.52757593177
20,RL,65.0,Reg,Low,Inside,CollgCr,5,7,1994,Gable,VinylSd,TA,PConc,TA,No,ALQ,Ex,Y,990,0,990,1.0,0,TA,5,Typ,0,,RFn,1.0,440.0,Y,66,92,Normal,2009,11.931775536210859,152021.24141419632
20,RL,65.0,IR2,Low,Inside,CollgCr,7,5,1998,Gable,VinylSd,TA,PConc,Gd,Mn,GLQ,Ex,Y,1463,0,1463,1.0,0,TA,5,Typ,0,,Fin,2.0,539.0,Y,0,0,Normal,2009,12.22641420284268,204109.97135410065
60,RL,70.0,Reg,Lvl,Inside,CollgCr,6,5,1998,Gable,VinylSd,TA,PConc,Gd,No,GLQ,Ex,Y,928,844,1772,1.0,1,TA,7,Typ,1,TA,RFn,2.0,492.0,Y,150,0,Normal,2009,12.211207040875289,201029.51978814328
20,RL,65.0,IR1,Lvl,Inside,CollgCr,7,5,2001,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1444,0,1444,1.0,0,Gd,6,Typ,0,,RFn,2.0,577.0,Y,144,0,Normal,2009,12.226087960272773,204043.39285346362
20,RL,75.0,Reg,Lvl,Inside,CollgCr,7,5,2001,Gable,VinylSd,Gd,PConc,Gd,Mn,GLQ,Ex,Y,1492,0,1492,0.0,0,Gd,6,Typ,1,TA,RFn,2.0,608.0,Y,0,168,Family,2009,12.254716290027119,209969.2331228092
20,RL,,IR1,Lvl,CulDSac,CollgCr,5,5,1978,Gable,MetalSd,TA,BrkTil,Gd,Av,GLQ,TA,Y,907,0,907,0.0,0,TA,5,Typ,0,,Unf,1.0,343.0,Y,72,0,Normal,2009,11.783238453209611,131037.45183701626
20,RL,76.0,IR1,Lvl,Inside,CollgCr,5,7,1979,Gable,HdBoard,TA,CBlock,TA,No,ALQ,TA,Y,914,0,914,1.0,0,TA,5,Typ,0,,Unf,2.0,444.0,Y,0,0,Normal,2009,11.852335889592036,140411.95121878435
20,RL,90.0,Reg,Lvl,Corner,CollgCr,7,5,2002,Hip,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,1611,0,1611,1.0,0,Gd,6,Typ,0,,RFn,3.0,1231.0,Y,262,0,Normal,2009,12.38595951745652,239416.38637769144
60,RL,,IR1,Lvl,Inside,CollgCr,8,5,2003,Gable,VinylSd,Gd,PConc,Gd,Av,Unf,Ex,Y,1068,1116,2184,0.0,1,Gd,8,Typ,1,Gd,RFn,2.0,570.0,Y,192,0,Normal,2009,12.405080169837753,244038.22939176534
60,RL,70.0,Reg,Lvl,Inside,CollgCr,7,5,2002,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,840,885,1725,0.0,1,Gd,6,Typ,0,,RFn,2.0,550.0,Y,0,0,Normal,2009,12.13570979990638,186411.11325187632
60,RL,,Reg,Lvl,Corner,CollgCr,7,5,2001,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,944,926,1870,0.0,1,Gd,6,Typ,0,,RFn,2.0,608.0,Y,256,0,Normal,2009,12.20185714601671,199158.6746465093
20,RL,90.0,Reg,Lvl,FR3,CollgCr,8,5,2000,Gable,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Y,1513,0,1513,1.0,0,Gd,5,Typ,1,TA,Fin,2.0,521.0,Y,135,0,Normal,2009,12.404632785757913,243929.0749918543
20,RL,,Reg,Lvl,Inside,CollgCr,8,5,2003,Hip,HdBoard,Gd,PConc,Ex,Gd,GLQ,Ex,Y,1828,0,1828,1.0,0,Gd,7,Typ,1,Gd,Fin,2.0,523.0,Y,194,0,Normal,2009,12.521863889905058,274268.7899959197
20,RL,70.0,Reg,Lvl,Inside,CollgCr,7,5,1998,Gable,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,1417,0,1417,1.0,0,Gd,7,Typ,1,TA,Unf,2.0,511.0,Y,60,117,Normal,2009,12.312695336122335,222502.88262496635
20,RL,85.0,Reg,Lvl,Inside,CollgCr,8,5,2007,Gable,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,1602,0,1602,1.0,0,Gd,7,Typ,1,Gd,RFn,3.0,810.0,Y,0,195,Normal,2009,12.484185905682883,264127.15282945393
60,RL,85.0,Reg,Lvl,Corner,CollgCr,6,5,2007,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,608,788,1396,0.0,1,Gd,6,Typ,1,Gd,Fin,2.0,440.0,Y,100,0,Normal,2009,12.048592139251618,170858.69336100714
20,RL,80.0,Reg,Lvl,Inside,Edwards,4,6,1971,Gable,HdBoard,TA,CBlock,TA,No,GLQ,TA,Y,1149,0,1149,1.0,0,TA,7,Min1,0,,Fin,1.0,544.0,Y,0,0,Normal,2009,11.688904985381024,119241.36382591371
180,RM,35.0,Reg,Lvl,Inside,Edwards,6,5,2006,Gable,VinylSd,TA,Wood,Gd,Gd,GLQ,Gd,Y,1072,0,1072,1.0,0,TA,5,Typ,0,,Fin,2.0,525.0,Y,0,0,Normal,2009,11.818796142581425,135780.67003872053
20,RL,64.0,Reg,HLS,Inside,Edwards,4,5,1959,Gable,AsbShng,TA,CBlock,TA,No,LwQ,TA,Y,876,0,876,0.0,0,TA,5,Typ,0,,Unf,1.0,320.0,Y,0,0,Normal,2009,11.43796622927691,92778.13059193907
20,RL,70.0,Reg,Lvl,Inside,Edwards,5,5,1950,Gable,MetalSd,TA,CBlock,Fa,Mn,Rec,TA,Y,1368,0,1368,1.0,0,TA,6,Min1,0,,RFn,1.0,195.0,Y,0,0,Normal,2009,11.713023154535119,122152.20822924367
90,RL,65.0,Reg,Lvl,Inside,Edwards,5,5,1959,Hip,VinylSd,TA,CBlock,TA,No,Unf,TA,Y,1678,0,1678,0.0,0,TA,10,Typ,0,,,0.0,0.0,Y,0,0,Normal,2009,11.744259488697466,126028.01326184263
20,RL,70.0,Reg,Lvl,Inside,Edwards,5,5,1956,Hip,HdBoard,TA,CBlock,TA,No,Rec,Ex,Y,1560,0,1560,0.0,0,TA,7,Min1,1,TA,Unf,1.0,313.0,Y,0,0,Normal,2009,11.826822439327765,136874.87130674487
50,RL,45.0,Reg,Lvl,Inside,Edwards,5,6,1950,Gable,Wd Sdng,TA,CBlock,TA,No,Rec,Ex,Y,854,444,1298,0.0,0,TA,6,Typ,2,Gd,Unf,1.0,256.0,Y,84,0,Normal,2009,11.720231269015827,123035.87629446767
50,RH,70.0,Reg,Lvl,Corner,SWISU,5,4,1950,Gable,MetalSd,TA,PConc,TA,No,LwQ,TA,Y,832,436,1268,0.0,1,TA,7,Typ,2,Gd,Unf,1.0,250.0,Y,0,0,Abnorml,2009,11.61097930047967,110302.21652703054
70,RL,43.0,Reg,Bnk,Inside,SWISU,6,6,1950,Gable,Wd Sdng,TA,BrkTil,TA,No,Unf,Gd,Y,647,595,1242,0.0,1,TA,6,Typ,1,Gd,Unf,1.0,180.0,Y,329,0,Normal,2009,11.75201333806395,127009.01384301341
30,RL,64.0,Reg,Lvl,Inside,Crawfor,6,8,2000,Gable,Stucco,Gd,BrkTil,TA,No,Unf,Ex,Y,1232,0,1232,0.0,0,Gd,6,Typ,1,Gd,Unf,2.0,440.0,Y,0,0,Normal,2009,12.0695504980835,174477.39978022518
70,RL,53.0,Reg,Lvl,Inside,Crawfor,7,8,1990,Gambrel,Wd Sdng,TA,BrkTil,TA,Mn,Unf,Ex,Y,628,600,1228,0.0,0,TA,6,Typ,1,Gd,Unf,1.0,215.0,Y,0,195,Normal,2009,12.023401703696898,166608.44599808732
50,RL,60.0,Reg,HLS,Inside,Crawfor,5,6,1950,Gable,Wd Sdng,TA,CBlock,TA,No,ALQ,Ex,Y,840,727,1567,1.0,1,TA,6,Min2,2,TA,Unf,2.0,440.0,Y,0,0,Normal,2009,11.988624418642837,160913.85177928544
20,RL,80.0,IR1,HLS,Inside,Crawfor,5,4,1960,Gable,MetalSd,TA,CBlock,TA,No,Rec,Ex,Y,1273,0,1273,0.0,0,TA,5,Typ,0,,Unf,1.0,307.0,Y,483,115,Normal,2009,11.871183005943523,143083.4071431633
90,RL,,IR1,HLS,Corner,Crawfor,7,6,1950,Gable,Wd Sdng,TA,BrkTil,TA,No,LwQ,Ex,Y,1240,1240,2480,0.0,1,TA,13,Typ,2,Gd,Unf,2.0,400.0,Y,0,0,Normal,2009,12.314394898449818,222881.36167529647
20,RL,70.0,Reg,Lvl,Inside,Crawfor,5,6,1954,Gable,BrkFace,TA,BrkTil,TA,Mn,Rec,Ex,Y,1112,0,1112,1.0,0,TA,6,Typ,1,Gd,Unf,1.0,390.0,Y,0,0,Family,2009,11.885694790931685,145174.94203039064
20,RL,90.0,IR1,Lvl,Inside,Crawfor,6,6,1960,Gable,HdBoard,TA,CBlock,TA,No,LwQ,TA,Y,1561,0,1561,1.0,0,TA,6,Typ,1,Gd,Fin,2.0,463.0,Y,0,120,Normal,2009,12.1741540217728,193717.0797425327
50,RL,78.0,Reg,Bnk,Inside,Crawfor,5,7,2005,Gable,BrkComm,TA,BrkTil,TA,No,BLQ,Fa,N,986,537,1523,1.0,0,Fa,7,Maj2,1,TA,Unf,1.0,295.0,Y,0,0,Normal,2009,11.826063001971177,136770.9628772618
20,RL,100.0,Reg,Bnk,Corner,Crawfor,6,5,1954,Gable,HdBoard,TA,PConc,TA,Av,LwQ,Ex,Y,1906,0,1906,1.0,1,TA,6,Typ,2,Gd,Unf,2.0,576.0,Y,0,0,Normal,2009,12.275159486652734,214305.85158233438
160,RM,24.0,Reg,Lvl,Inside,Blueste,6,6,1980,Gable,MetalSd,TA,CBlock,TA,No,Unf,TA,Y,516,516,1032,0.0,0,TA,5,Typ,1,TA,Unf,2.0,452.0,Y,279,0,Normal,2009,11.673066601414895,117367.65078323422
160,RM,24.0,Reg,Lvl,Inside,Blueste,6,6,1992,Gable,MetalSd,TA,CBlock,Gd,Mn,ALQ,TA,Y,561,668,1229,1.0,1,Gd,5,Typ,1,TA,Fin,2.0,462.0,Y,176,0,Normal,2009,11.917468667634443,149861.77790704725
160,RM,24.0,Reg,Lvl,Inside,Blueste,6,6,1980,Gable,MetalSd,TA,CBlock,Gd,No,Unf,TA,Y,561,668,1229,0.0,1,TA,5,Typ,1,TA,Fin,2.0,462.0,Y,154,0,Normal,2009,11.787951574191654,131656.5048907263
80,RL,,IR1,Lvl,Inside,Crawfor,6,6,1986,Gable,VinylSd,TA,CBlock,TA,No,ALQ,Gd,Y,1182,800,1982,1.0,1,TA,6,Typ,1,TA,Fin,2.0,501.0,Y,400,0,Normal,2009,12.26716870978781,212600.20513737676
20,RL,,Reg,Bnk,Inside,Crawfor,7,9,2009,Hip,BrkFace,Gd,CBlock,Gd,No,GLQ,TA,Y,2365,0,2365,1.0,0,Ex,7,Min1,2,Gd,Fin,2.0,551.0,Y,200,0,Normal,2009,12.643198269753762,309650.112522977
70,RM,50.0,Reg,Bnk,Inside,IDOTRR,5,6,1993,Gambrel,AsbShng,TA,BrkTil,TA,No,Unf,Ex,N,928,928,2168,0.0,0,Gd,11,Typ,0,,Unf,2.0,576.0,Y,467,0,Normal,2009,11.786100221524945,131412.98775690957
30,C (all),60.0,Reg,Lvl,Inside,IDOTRR,4,6,1950,Gable,MetalSd,TA,BrkTil,TA,No,Unf,Fa,N,572,0,572,0.0,0,TA,4,Typ,0,,Unf,1.0,200.0,N,0,0,Normal,2009,11.025344445270779,61411.011919082935
120,RM,44.0,IR1,HLS,Inside,Crawfor,8,5,2008,Hip,CemntBd,Ex,PConc,Ex,Gd,GLQ,Ex,Y,1648,0,1648,1.0,0,Ex,5,Typ,1,Gd,Fin,2.0,482.0,Y,162,0,Partial,2009,12.517785437946356,273152.4758762797
60,RL,75.0,Reg,Lvl,Inside,Mitchel,8,5,2001,Gable,CemntBd,Gd,PConc,Gd,No,ALQ,Ex,Y,1040,1012,2052,0.0,1,Gd,7,Typ,1,TA,Fin,3.0,642.0,Y,210,0,Normal,2009,12.355056557427856,232130.86326669678
85,RL,75.0,Reg,Lvl,Inside,Mitchel,6,6,1977,Gable,Plywood,TA,CBlock,TA,Av,ALQ,Ex,Y,926,0,926,1.0,0,TA,5,Typ,1,TA,Unf,1.0,351.0,Y,319,0,Normal,2009,11.855886789389201,140911.42625597218
85,RL,72.0,Reg,Bnk,Inside,Mitchel,6,7,1977,Gable,Plywood,TA,CBlock,Gd,Av,GLQ,TA,Y,1287,0,1287,1.0,1,TA,5,Typ,2,Fa,RFn,2.0,541.0,Y,302,120,Normal,2009,12.149372121383866,188975.39896887992
20,RL,82.0,Reg,Lvl,Inside,Mitchel,5,5,1991,Gable,HdBoard,TA,PConc,Gd,No,BLQ,TA,Y,1595,0,1595,1.0,0,TA,5,Typ,0,,Unf,2.0,672.0,Y,0,0,Abnorml,2009,11.919914891270809,150228.82208338808
20,RL,113.0,IR1,HLS,Corner,Timber,9,5,2008,Gable,CemntBd,Ex,CBlock,Ex,Gd,GLQ,Ex,Y,2036,0,2036,1.0,0,Ex,9,Typ,1,Ex,Fin,3.0,780.0,Y,90,0,Normal,2009,12.765554756935854,349953.2163415985
20,RL,79.0,IR1,HLS,Corner,Timber,9,5,2008,Gable,CemntBd,Ex,PConc,Ex,Gd,GLQ,Ex,Y,1641,0,1641,1.0,0,Ex,7,Typ,0,,Fin,3.0,885.0,Y,0,0,Normal,2009,12.613754505090114,300665.76307853893
60,RL,,IR1,Lvl,CulDSac,Timber,6,8,2006,Gable,MetalSd,TA,PConc,Gd,No,ALQ,Ex,Y,1375,862,2237,0.0,1,Gd,7,Typ,1,TA,Fin,2.0,440.0,Y,305,0,Normal,2009,12.505367647498286,269781.4990298863
80,RL,125.0,IR1,Lvl,Corner,Timber,7,5,1989,Hip,Plywood,TA,PConc,Gd,Gd,GLQ,Ex,Y,1479,0,1479,2.0,1,Gd,7,Min1,1,Fa,Fin,2.0,578.0,Y,224,0,Normal,2009,12.4192852570205,247529.55228150776
